T, B, Ker
[ 2, 1 ], [ 6, 1 ], [  ]
[ 2, 1 ], [ 6, 2 ], [  ]
[ 2, 1 ], [ 6, 3 ], [  ]
[ 2, 1 ], [ 6, 4 ], [  ]
[ 2, 1 ], [ 6, 5 ], [  ]
[ 2, 1 ], [ 6, 6 ], [  ]
[ 2, 1 ], [ 6, 7 ], [  ]
[ 2, 1 ], [ 6, 8 ], [  ]
[ 2, 1 ], [ 6, 9 ], [  ]
[ 2, 1 ], [ 6, 10 ], [  ]
[ 2, 1 ], [ 6, 11 ], [  ]
[ 2, 1 ], [ 6, 12 ], [  ]
[ 2, 1 ], [ 6, 13 ], [  ]
[ 2, 1 ], [ 6, 14 ], [  ]
[ 2, 1 ], [ 6, 15 ], [  ]
[ 2, 1 ], [ 6, 16 ], [  ]
[ 3, 1 ], [ 4, 1 ], [  ]
[ 3, 1 ], [ 4, 2 ], [  ]
[ 3, 1 ], [ 4, 3 ], [  ]
[ 3, 1 ], [ 4, 4 ], [  ]
[ 3, 1 ], [ 4, 5 ], [  ]
[ 3, 2 ], [ 4, 1 ], [  ]
[ 3, 2 ], [ 4, 2 ], [  ]
[ 3, 2 ], [ 4, 3 ], [  ]
[ 3, 2 ], [ 4, 4 ], [  ]
[ 3, 2 ], [ 4, 5 ], [  ]
[ 4, 1 ], [ 3, 1 ], [  ]
[ 4, 1 ], [ 3, 2 ], [  ]
[ 4, 2 ], [ 3, 1 ], [  ]
[ 4, 2 ], [ 3, 2 ], [  ]
[ 4, 3 ], [ 3, 1 ], [  ]
[ 4, 3 ], [ 3, 2 ], [  ]
[ 4, 4 ], [ 3, 1 ], [  ]
[ 4, 4 ], [ 3, 2 ], [  ]
[ 4, 5 ], [ 3, 1 ], [  ]
[ 4, 5 ], [ 3, 2 ], [  ]
[ 6, 1 ], [ 2, 1 ], [  ]
[ 6, 2 ], [ 2, 1 ], [  ]
[ 6, 3 ], [ 2, 1 ], [  ]
[ 6, 4 ], [ 2, 1 ], [  ]
[ 6, 5 ], [ 2, 1 ], [  ]
[ 6, 6 ], [ 2, 1 ], [  ]
[ 6, 7 ], [ 2, 1 ], [  ]
[ 6, 8 ], [ 2, 1 ], [  ]
[ 6, 9 ], [ 2, 1 ], [  ]
[ 6, 10 ], [ 2, 1 ], [  ]
[ 6, 11 ], [ 2, 1 ], [  ]
[ 6, 12 ], [ 2, 1 ], [  ]
[ 6, 13 ], [ 2, 1 ], [  ]
[ 6, 14 ], [ 2, 1 ], [  ]
[ 6, 15 ], [ 2, 1 ], [  ]
[ 6, 16 ], [ 2, 1 ], [  ]
